AFF848DE-524C-9E99-F339-A3747429F068	DD283FC0-E363-F0E7-E4E4-A37474290ADE.59EF80F9-3067-8522-0FAE-A37474299032	DD283FC0-E363-F0E7-E4E4-A37474290ADE.04C30481-BB3F-3DFA-2415-A3747429F847	DD283FC0-E363-F0E7-E4E4-A37474290ADE.8E1C1B6C-5510-9872-B39F-A375B44F4D5E	840DB5A1-60EE-88A2-ED6B-A3747429C661	DDFC3023-804A-9230-3338-A37474291080	610C4F04-85A6-00D0-A28C-A374742928CA
cell-type	promoter-construct: molecule1	promoter-construct: molecule2	promoter-construct: molecule3	immunoprecipitate	primary-antibody	protein-concentration
Cos-7	Sos-1	none	none	control	Sos-1	0/7: none
Cos-7	Sos-1	none	none	control	Eps8	0/7: none
Cos-7	Sos-1	none	none	control	E3b1	0/7: none
Cos-7	Sos-1	none	none	Sos-1	Sos-1	7/7: very high
Cos-7	Sos-1	none	none	Sos-1	Eps8	0/7: none
Cos-7	Sos-1	none	none	Sos-1	E3b1	4/7: moderate
Cos-7	Sos-1	E3b1	Eps8	control	Sos-1	0/7: none
Cos-7	Sos-1	E3b1	Eps8	control	Eps8	0/7: none
Cos-7	Sos-1	E3b1	Eps8	control	E3b1	0/7: none
Cos-7	Sos-1	E3b1	Eps8	Sos-1	Sos-1	7/7: very high
Cos-7	Sos-1	E3b1	Eps8	Sos-1	Eps8	6/7: high
Cos-7	Sos-1	E3b1	Eps8	Sos-1	E3b1	7/7: very high
Cos-7	Sos-1	E3b1	Eps8	Eps8	Sos-1	4/7: moderate
Cos-7	Sos-1	E3b1	Eps8	Eps8	Eps8	7/7: very high
Cos-7	Sos-1	E3b1	Eps8	Eps8	E3b1	7/7: very high
